"Date","Price","Open","High","Low","Vol.","Change %"
"Feb 11, 2018","180.25","179.90","181.30","173.15","4.20M","1.92%"
"Feb 04, 2018","176.85","179.45","184.55","171.00","6.36M","-1.89%"
"Jan 28, 2018","180.25","184.95","188.20","180.05","4.55M","-2.30%"
"Jan 21, 2018","184.50","183.15","188.45","180.25","5.20M","0.93%"
"Jan 14, 2018","182.80","169.75","182.80","166.50","5.67M","8.45%"
"Jan 07, 2018","168.55","174.10","174.15","165.80","4.09M","-2.03%"
"Dec 31, 2017","172.05","167.15","172.65","165.25","2.75M","2.93%"
"Dec 24, 2017","167.15","169.65","171.10","167.05","1.19M","-1.33%"
"Dec 17, 2017","169.40","173.50","174.70","168.20","3.01M","-1.65%"
"Dec 10, 2017","172.25","181.20","181.45","165.05","6.40M","-4.62%"
"Dec 03, 2017","180.60","176.30","182.25","175.40","3.16M","3.14%"
"Nov 26, 2017","175.10","179.80","181.65","174.75","3.74M","-2.72%"
"Nov 19, 2017","180.00","184.50","188.00","179.85","2.69M","-3.12%"
"Nov 12, 2017","185.80","181.80","188.35","180.60","4.22M","2.65%"
"Nov 05, 2017","181.00","185.50","186.40","175.10","6.10M","-3.21%"
"Oct 29, 2017","187.00","191.40","192.00","185.90","2.71M","-2.30%"
"Oct 22, 2017","191.40","186.50","192.65","185.85","2.81M","2.22%"
"Oct 15, 2017","187.25","192.30","193.55","186.55","2.95M","-3.03%"
"Oct 08, 2017","193.10","192.95","196.75","192.60","1.90M","0.31%"
"Oct 01, 2017","192.50","193.80","197.00","192.00","2.00M","0.57%"
"Sep 24, 2017","191.40","191.85","194.30","185.20","3.47M","-0.44%"
"Sep 17, 2017","192.25","198.95","198.95","192.05","2.07M","-2.85%"
"Sep 10, 2017","197.90","196.55","199.25","196.25","3.74M","1.51%"
"Sep 03, 2017","194.95","189.45","196.10","187.10","2.17M","2.39%"
"Aug 27, 2017","190.40","186.55","192.60","181.40","2.65M","1.44%"
"Aug 20, 2017","187.70","187.80","190.70","184.65","2.35M","-0.82%"
"Aug 13, 2017","189.25","193.00","196.20","183.25","3.13M","-1.43%"
"Aug 06, 2017","192.00","199.30","199.75","190.45","3.02M","-3.98%"
"Jul 30, 2017","199.95","192.50","202.10","188.55","3.48M","3.84%"
"Jul 23, 2017","192.55","177.60","193.70","176.05","4.23M","8.66%"
"Jul 16, 2017","177.20","181.20","183.25","176.75","3.14M","-1.88%"
"Jul 09, 2017","180.60","176.90","181.15","173.90","2.98M","2.50%"
"Jul 02, 2017","176.20","168.50","179.50","167.80","3.85M","5.04%"
"Jun 25, 2017","167.75","169.25","170.00","163.45","3.40M","-0.45%"
"Jun 18, 2017","168.50","175.00","175.55","168.10","2.25M","-3.19%"
"Jun 11, 2017","174.05","169.90","178.65","169.25","5.39M","2.38%"
"Jun 04, 2017","170.00","170.40","171.85","167.30","2.62M","-0.87%"
"May 28, 2017","171.50","172.40","174.50","170.25","2.85M","-0.38%"
"May 21, 2017","172.15","172.70","173.70","167.70","2.96M","-0.20%"
"May 14, 2017","172.50","177.00","178.05","172.50","2.98M","-2.10%"
"May 07, 2017","176.20","185.45","185.45","175.70","3.43M","-4.32%"
"Apr 30, 2017","184.15","184.45","188.95","179.35","2.99M","0.14%"
"Apr 23, 2017","183.90","186.30","187.00","182.90","3.05M","1.94%"
"Apr 16, 2017","180.40","178.50","181.25","176.55","2.44M","1.32%"
"Apr 09, 2017","178.05","178.40","178.80","174.65","1.76M","-0.14%"
"Apr 02, 2017","178.30","178.90","179.45","173.95","2.48M","0.00%"
"Mar 26, 2017","178.30","177.50","178.80","175.65","2.46M","-0.14%"
"Mar 19, 2017","178.55","182.55","183.25","177.60","2.84M","-2.54%"
"Mar 12, 2017","183.20","179.70","185.05","175.15","4.48M","2.09%"
