,Date,Google trends,Price,Open,High,Low,Vol.,Change %
146,2018-05-20,45,72.25,71.48,73.49,70.71,29.47,1.30%
147,2018-05-27,48,72.76,71.52,72.95,70.43,23.6,0.71%
148,2018-06-03,47,74.9,73.0,75.91,72.79,27.2,2.94%
149,2018-06-10,48,75.84,75.06,75.85,73.99,29.57,1.25%
150,2018-06-17,44,73.43,75.28,75.76,73.21,31.64,-3.18%
151,2018-06-24,45,79.68,73.32,81.0,71.15,64.3,8.51%
152,2018-07-01,47,76.48,78.58,79.48,76.07,30.13,-4.02%
153,2018-07-08,49,77.38,76.84,78.18,76.34,22.65,1.18%
154,2018-07-15,54,76.96,77.36,78.09,75.8,25.34,-0.54%
155,2018-07-22,50,76.89,76.71,78.44,75.06,28.71,-0.09%
156,2018-07-29,52,78.74,76.88,79.07,75.43,31.5,2.41%
157,2018-08-05,53,80.73,78.74,81.88,78.43,24.62,2.53%
158,2018-08-12,53,79.75,80.82,81.14,79.12,29.72,-1.21%
159,2018-08-19,50,82.45,81.52,83.68,80.95,27.6,3.39%
160,2018-08-26,50,82.2,83.04,83.63,81.01,25.81,-0.30%
161,2018-09-02,100,80.3,79.39,81.16,79.0,46.05,-2.31%
162,2018-09-09,58,83.49,81.39,83.9,81.22,29.78,3.97%
163,2018-09-16,49,85.55,83.49,86.04,82.94,40.66,2.47%
164,2018-09-23,48,84.72,85.16,85.27,81.95,49.18,-0.97%
165,2018-09-30,48,80.12,85.1,85.85,79.43,42.55,-5.43%
166,2018-10-07,46,75.91,80.04,81.49,73.9,50.61,-5.25%
167,2018-10-14,46,74.21,75.77,77.8,74.14,35.27,-2.24%
168,2018-10-21,44,72.07,74.65,75.21,70.69,42.82,-2.88%
169,2018-10-28,44,76.58,73.26,78.59,71.39,41.21,6.26%
170,2018-11-04,47,76.36,76.49,78.23,75.53,29.13,-0.29%
171,2018-11-11,49,74.74,76.35,77.49,72.89,33.7,-2.12%
172,2018-11-18,68,71.49,74.69,74.75,69.52,25.71,-4.35%
173,2018-11-25,58,75.12,72.34,75.48,71.3,31.02,5.08%
174,2018-12-02,55,73.34,77.1,79.0,72.87,34.84,-2.37%
175,2018-12-09,59,72.53,73.1,75.28,70.61,36.66,-1.10%
176,2018-12-16,57,72.37,71.37,74.29,66.53,69.58,-0.22%
177,2018-12-23,57,73.34,71.4,74.46,68.08,33.77,1.34%
178,2018-12-30,48,74.65,73.98,75.12,71.21,28.13,1.79%
179,2019-01-06,50,76.04,74.74,77.4,74.3,47.42,1.86%
180,2019-01-13,49,80.45,75.46,80.97,75.46,35.73,5.80%
181,2019-01-20,48,80.61,80.33,81.4,79.55,23.82,0.20%
182,2019-01-27,48,81.51,79.8,81.95,79.74,28.79,1.12%
183,2019-02-03,49,82.36,81.22,83.19,80.83,23.08,1.04%
184,2019-02-10,47,85.38,82.95,85.78,82.87,28.77,3.67%
185,2019-02-17,53,84.76,84.58,85.05,83.35,24.57,-0.73%
186,2019-02-24,51,87.16,85.39,87.99,84.96,28.8,2.83%
187,2019-03-03,53,84.8,87.32,87.99,84.02,24.51,-2.71%
188,2019-03-10,51,86.8,85.39,87.61,85.02,30.41,2.36%
189,2019-03-17,52,82.19,87.3,88.59,82.15,52.43,-5.31%
190,2019-03-24,54,84.21,81.48,84.85,80.89,44.18,2.46%
191,2019-03-31,54,85.4,85.04,86.16,84.16,26.28,1.41%
192,2019-04-07,54,86.24,85.01,86.49,83.97,21.81,0.98%
193,2019-04-14,52,89.2,86.89,90.0,86.44,22.4,3.43%
194,2019-04-21,50,88.31,88.35,88.94,87.01,34.26,-1.00%
195,2019-04-28,52,85.7,88.18,88.5,84.98,32.76,-2.96%
196,2019-05-05,50,83.95,83.77,84.27,81.54,43.94,-2.04%
197,2019-05-12,50,84.57,81.65,85.52,81.32,30.65,0.74%
198,2019-05-19,50,82.16,83.8,83.8,81.99,33.89,-2.85%
199,2019-05-26,52,77.14,82.85,83.19,77.07,33.11,-6.11%
200,2019-06-02,51,83.41,77.24,83.68,77.08,36.21,8.13%
201,2019-06-09,50,83.44,83.75,84.33,82.45,20.12,0.04%
202,2019-06-16,49,85.75,83.34,85.75,82.01,33.23,2.77%
203,2019-06-23,49,83.95,86.0,86.85,82.16,45.1,-2.10%
204,2019-06-30,54,86.82,84.93,86.91,84.22,24.25,3.42%
205,2019-07-07,54,89.12,86.06,89.31,85.97,27.44,2.65%
206,2019-07-14,53,86.55,89.06,89.87,86.48,25.27,-2.88%
207,2019-07-21,54,87.54,86.56,87.84,85.83,27.09,1.14%
208,2019-07-28,55,81.14,87.65,87.91,80.79,30.4,-7.31%
209,2019-08-04,57,81.98,79.66,83.43,78.19,35.1,1.04%
210,2019-08-11,58,80.28,81.41,84.15,79.25,30.33,-2.07%
211,2019-08-18,55,80.44,82.0,83.72,79.45,33.46,0.20%
212,2019-08-25,54,84.5,81.44,85.99,80.74,22.65,5.05%
213,2019-09-01,54,88.69,84.0,88.98,83.62,20.48,4.96%
214,2019-09-08,52,87.32,88.94,89.35,85.87,25.93,-1.54%
215,2019-09-15,50,86.68,87.09,88.72,86.47,23.45,-0.73%
216,2019-09-22,49,92.31,86.98,92.86,86.76,58.49,6.50%
217,2019-09-29,52,93.07,92.53,94.75,90.35,33.65,0.82%
218,2019-10-06,52,93.88,92.5,94.57,90.41,29.55,0.87%
219,2019-10-13,50,96.1,94.2,96.45,94.05,23.56,2.36%
220,2019-10-20,50,90.92,96.61,96.87,90.75,43.13,-5.39%
221,2019-10-27,50,89.18,91.06,91.3,88.94,39.49,-1.91%
222,2019-11-03,53,89.81,90.13,90.72,88.74,32.45,0.71%
223,2019-11-10,59,93.04,89.37,93.56,89.37,26.01,3.60%
224,2019-11-17,59,93.34,93.5,95.12,91.93,27.54,0.32%
225,2019-11-24,82,93.49,93.78,94.61,92.74,17.89,0.16%
226,2019-12-01,71,97.0,94.09,97.31,91.31,27.66,3.75%
227,2019-12-08,66,97.77,97.02,98.29,96.16,25.14,0.79%
228,2019-12-15,66,99.96,98.14,101.4,98.06,52.63,2.24%
229,2019-12-22,69,101.57,100.23,101.79,99.55,18.7,1.61%
230,2019-12-29,57,101.92,101.54,102.21,100.31,16.9,0.34%
231,2020-01-05,57,100.9,100.95,102.74,100.76,26.52,-1.00%
232,2020-01-12,55,104.53,101.0,104.55,100.82,28.86,3.60%
233,2020-01-19,55,102.03,104.25,105.62,101.66,20.83,-2.39%
234,2020-01-26,57,96.3,98.21,101.3,95.92,35.86,-5.62%
235,2020-02-02,57,99.44,99.0,102.78,98.57,32.16,3.26%
236,2020-02-09,55,103.54,99.22,103.89,99.0,26.85,4.12%
237,2020-02-16,55,100.25,103.0,103.39,99.63,23.3,-3.18%
238,2020-02-23,55,89.38,95.54,97.07,85.15,56.67,-10.84%
239,2020-03-01,57,88.36,89.6,94.98,85.88,56.96,-1.14%
240,2020-03-08,52,75.58,81.89,88.4,71.76,85.6,-14.46%
241,2020-03-15,39,67.45,65.28,74.06,60.0,86.54,-10.76%
242,2020-03-22,41,83.23,65.0,86.86,60.58,94.98,23.40%
243,2020-03-29,42,78.86,84.0,85.96,77.16,51.56,-5.25%
244,2020-04-05,47,86.79,81.91,88.87,81.21,36.15,10.06%
245,2020-04-12,50,89.91,85.8,90.25,83.71,37.01,3.59%
246,2020-04-19,50,88.37,88.43,89.53,85.09,30.1,-1.71%
247,2020-04-26,54,85.54,88.38,91.39,84.81,37.0,-3.20%
248,2020-05-03,57,90.46,84.68,90.64,84.31,30.07,5.75%
249,2020-05-10,58,86.99,89.45,91.67,84.11,33.9,-3.84%
250,2020-05-17,61,93.75,90.49,94.65,89.88,32.93,7.77%
251,2020-05-24,65,98.58,95.98,100.69,95.28,32.7,5.15%
252,2020-05-31,59,102.71,98.4,104.69,97.89,38.1,4.19%
253,2020-06-07,59,96.43,103.05,104.3,94.74,35.14,-6.11%
254,2020-06-14,58,95.78,93.9,101.34,93.44,32.81,-0.67%
255,2020-06-21,56,93.67,96.85,102.22,93.57,58.48,-2.20%
256,2020-06-28,58,98.43,93.7,99.66,93.7,29.78,5.08%
257,2020-07-05,57,97.99,99.62,100.03,95.72,27.23,-0.45%
258,2020-07-12,58,96.28,98.25,99.04,95.51,26.04,-1.75%
259,2020-07-19,59,98.43,95.5,100.18,95.11,25.95,2.23%
