,Date,Google trends Adidas,Price,Open,High,Low,Vol.,Change %
34,2016-03-27,74,102.45,103.1,104.75,101.15,2.37,0.00%
35,2016-04-03,75,103.0,102.15,104.75,101.65,2.82,0.54%
36,2016-04-10,74,104.35,102.6,105.3,100.45,2.88,1.31%
37,2016-04-17,71,107.15,103.5,108.75,103.5,3.55,2.68%
38,2016-04-24,68,112.6,107.15,118.3,106.3,6.72,5.09%
39,2016-05-01,69,114.1,112.35,115.75,110.65,3.75,1.33%
40,2016-05-08,66,109.9,114.2,116.5,108.9,4.32,-3.68%
41,2016-05-15,70,113.1,110.4,113.1,109.1,2.86,2.91%
42,2016-05-22,70,115.65,113.75,116.25,112.8,2.92,2.25%
43,2016-05-29,70,116.85,115.75,117.75,114.1,3.8,1.04%
44,2016-06-05,72,118.95,117.4,120.0,116.7,3.1,1.80%
45,2016-06-12,69,117.2,117.0,119.05,113.55,4.45,-1.47%
46,2016-06-19,71,119.85,118.7,124.75,107.65,5.78,2.26%
47,2016-06-26,73,128.2,119.3,128.95,118.7,4.88,6.97%
48,2016-07-03,75,126.9,128.5,129.3,124.3,3.35,-1.01%
49,2016-07-10,70,131.55,128.0,132.4,126.85,3.12,3.66%
50,2016-07-17,68,137.0,131.35,139.2,130.25,4.31,4.14%
51,2016-07-24,70,146.75,137.6,147.95,137.3,5.49,7.12%
52,2016-07-31,73,146.5,148.05,149.2,141.85,5.24,-0.17%
53,2016-08-07,71,155.15,147.65,155.6,146.5,3.46,5.90%
54,2016-08-14,73,156.55,154.95,157.45,152.65,2.67,0.90%
55,2016-08-21,74,153.55,156.0,156.65,151.45,3.0,-1.92%
56,2016-08-28,74,145.45,152.25,153.9,143.65,3.78,-5.28%
57,2016-09-04,73,145.05,145.2,149.4,144.05,3.04,-0.28%
58,2016-09-11,70,149.9,142.3,151.4,142.05,13.29,3.34%
59,2016-09-18,72,155.1,150.05,155.35,148.35,4.22,3.47%
60,2016-09-25,74,154.5,153.95,157.4,151.1,3.63,-0.39%
61,2016-10-02,70,155.15,154.4,157.4,152.7,2.6,0.42%
62,2016-10-09,73,157.1,154.95,158.2,153.2,2.85,1.26%
63,2016-10-16,69,156.65,156.5,160.3,155.55,3.35,-0.29%
64,2016-10-23,65,149.7,157.3,157.35,147.3,4.16,-4.44%
65,2016-10-30,64,133.05,149.05,150.7,131.8,6.59,-11.12%
66,2016-11-06,66,133.45,135.0,140.3,129.6,5.73,0.30%
67,2016-11-13,70,139.0,134.5,140.65,134.0,3.81,4.16%
68,2016-11-20,92,139.2,139.55,140.45,137.7,2.35,0.14%
69,2016-11-27,83,138.5,138.45,139.95,136.75,3.34,-0.50%
70,2016-12-04,81,144.4,138.0,145.1,138.0,3.72,4.26%
71,2016-12-11,83,144.75,144.35,146.45,140.95,3.73,0.24%
72,2016-12-18,80,144.5,144.1,147.1,143.5,1.84,-0.17%
73,2016-12-25,81,150.15,144.5,150.15,144.5,1.16,3.91%
74,2017-01-01,71,144.8,149.75,151.95,142.95,3.09,-3.56%
75,2017-01-08,72,147.95,145.1,147.95,144.15,2.48,2.18%
76,2017-01-15,71,152.2,146.85,152.9,145.85,2.84,2.87%
77,2017-01-22,71,153.85,151.4,156.35,151.25,2.86,1.08%
78,2017-01-29,71,147.0,153.1,153.75,145.6,3.75,-4.45%
79,2017-02-05,73,149.4,146.25,150.05,142.6,3.14,1.63%
80,2017-02-12,69,148.45,149.85,152.4,146.45,2.53,-0.64%
81,2017-02-19,74,151.9,149.45,153.45,148.2,2.42,2.32%
82,2017-02-26,77,161.0,156.5,163.75,156.5,3.59,5.99%
83,2017-03-05,76,179.45,160.75,180.05,159.15,6.82,11.46%
84,2017-03-12,76,183.2,179.7,185.05,175.15,4.48,2.09%
85,2017-03-19,75,178.55,182.55,183.25,177.6,2.84,-2.54%
86,2017-03-26,77,178.3,177.5,178.8,175.65,2.46,-0.14%
87,2017-04-02,77,178.3,178.9,179.45,173.95,2.48,0.00%
88,2017-04-09,77,178.05,178.4,178.8,174.65,1.76,-0.14%
89,2017-04-16,70,180.4,178.5,181.25,176.55,2.44,1.32%
90,2017-04-23,76,183.9,186.3,187.0,182.9,3.05,1.94%
91,2017-04-30,73,184.15,184.45,188.95,179.35,2.99,0.14%
92,2017-05-07,68,176.2,185.45,185.45,175.7,3.43,-4.32%
93,2017-05-14,66,172.5,177.0,178.05,172.5,2.98,-2.10%
94,2017-05-21,64,172.15,172.7,173.7,167.7,2.96,-0.20%
95,2017-05-28,67,171.5,172.4,174.5,170.25,2.85,-0.38%
96,2017-06-04,66,170.0,170.4,171.85,167.3,2.62,-0.87%
97,2017-06-11,68,174.05,169.9,178.65,169.25,5.39,2.38%
98,2017-06-18,71,168.5,175.0,175.55,168.1,2.25,-3.19%
99,2017-06-25,70,167.75,169.25,170.0,163.45,3.4,-0.45%
100,2017-07-02,71,176.2,168.5,179.5,167.8,3.85,5.04%
101,2017-07-09,70,180.6,176.9,181.15,173.9,2.98,2.50%
102,2017-07-16,68,177.2,181.2,183.25,176.75,3.14,-1.88%
103,2017-07-23,72,192.55,177.6,193.7,176.05,4.23,8.66%
104,2017-07-30,72,199.95,192.5,202.1,188.55,3.48,3.84%
105,2017-08-06,76,192.0,199.3,199.75,190.45,3.02,-3.98%
106,2017-08-13,73,189.25,193.0,196.2,183.25,3.13,-1.43%
107,2017-08-20,73,187.7,187.8,190.7,184.65,2.35,-0.82%
108,2017-08-27,77,190.4,186.55,192.6,181.4,2.65,1.44%
109,2017-09-03,71,194.95,189.45,196.1,187.1,2.17,2.39%
110,2017-09-10,67,197.9,196.55,199.25,196.25,3.74,1.51%
111,2017-09-17,66,192.25,198.95,198.95,192.05,2.07,-2.85%
112,2017-09-24,68,191.4,191.85,194.3,185.2,3.47,-0.44%
113,2017-10-01,68,192.5,193.8,197.0,192.0,2.0,0.57%
114,2017-10-08,67,193.1,192.95,196.75,192.6,1.9,0.31%
115,2017-10-15,66,187.25,192.3,193.55,186.55,2.95,-3.03%
116,2017-10-22,64,191.4,186.5,192.65,185.85,2.81,2.22%
117,2017-10-29,64,187.0,191.4,192.0,185.9,2.71,-2.30%
118,2017-11-05,70,181.0,185.5,186.4,175.1,6.1,-3.21%
119,2017-11-12,73,185.8,181.8,188.35,180.6,4.22,2.65%
120,2017-11-19,100,180.0,184.5,188.0,179.85,2.69,-3.12%
121,2017-11-26,81,175.1,179.8,181.65,174.75,3.74,-2.72%
122,2017-12-03,76,180.6,176.3,182.25,175.4,3.16,3.14%
123,2017-12-10,82,172.25,181.2,181.45,165.05,6.4,-4.62%
124,2017-12-17,77,169.4,173.5,174.7,168.2,3.01,-1.65%
125,2017-12-24,80,167.15,169.65,171.1,167.05,1.19,-1.33%
126,2017-12-31,67,172.05,167.15,172.65,165.25,2.75,2.93%
127,2018-01-07,71,168.55,174.1,174.15,165.8,4.09,-2.03%
128,2018-01-14,68,182.8,169.75,182.8,166.5,5.67,8.45%
129,2018-01-21,65,184.5,183.15,188.45,180.25,5.2,0.93%
130,2018-01-28,69,180.25,184.95,188.2,180.05,4.55,-2.30%
131,2018-02-04,65,176.85,179.45,184.55,171.0,6.36,-1.89%
132,2018-02-11,65,180.25,179.9,181.3,173.15,4.2,1.92%
133,2018-02-18,69,181.8,181.7,183.0,179.1,3.16,0.86%
134,2018-02-25,65,172.2,182.8,185.6,171.6,4.21,-5.28%
135,2018-03-04,67,173.7,171.05,179.75,170.85,3.76,0.87%
136,2018-03-11,70,194.1,175.0,196.6,168.25,9.8,11.74%
137,2018-03-18,70,195.6,194.0,200.3,192.0,5.49,0.77%
138,2018-03-25,73,196.65,196.45,198.4,189.7,3.32,0.54%
139,2018-04-01,72,203.7,195.0,204.8,193.05,3.84,3.59%
140,2018-04-08,73,210.6,205.0,211.4,201.0,3.43,3.39%
141,2018-04-15,69,212.2,210.7,215.5,209.2,3.28,0.76%
142,2018-04-22,67,204.5,212.2,212.5,200.4,3.92,-3.63%
143,2018-04-29,68,192.7,204.5,207.8,190.7,5.51,-5.77%
144,2018-05-06,66,189.55,193.65,196.2,187.5,3.94,-1.63%
145,2018-05-13,62,195.05,189.8,196.6,186.8,4.18,2.90%
146,2018-05-20,62,193.85,195.05,198.8,191.15,3.64,-0.62%
147,2018-05-27,67,193.15,195.25,197.4,192.1,3.86,-0.36%
148,2018-06-03,66,199.35,195.3,203.8,193.25,3.96,3.21%
149,2018-06-10,67,199.85,199.35,203.8,193.45,4.61,0.25%
150,2018-06-17,68,190.95,199.35,199.35,187.35,4.22,-4.45%
151,2018-06-24,71,186.95,190.75,191.4,183.15,4.56,-2.09%
152,2018-07-01,72,181.5,184.55,187.25,180.5,3.22,-2.92%
153,2018-07-08,71,187.75,182.5,188.55,181.3,3.05,3.44%
154,2018-07-15,71,189.9,187.95,191.3,183.9,3.18,1.15%
155,2018-07-22,69,189.2,189.0,191.85,183.4,2.97,-0.37%
156,2018-07-29,70,189.6,188.8,190.4,183.95,3.03,0.21%
157,2018-08-05,69,205.7,189.8,210.9,187.45,5.95,8.49%
158,2018-08-12,68,207.0,206.3,211.6,205.1,3.17,0.63%
159,2018-08-19,67,213.7,207.8,215.4,207.1,2.69,3.24%
160,2018-08-26,68,214.9,215.3,218.0,212.4,2.48,0.56%
161,2018-09-02,70,207.2,214.1,217.2,204.9,3.02,-3.58%
162,2018-09-09,67,210.3,207.6,211.5,203.8,2.62,1.50%
163,2018-09-16,69,210.9,209.4,211.6,206.8,3.48,0.29%
164,2018-09-23,65,210.9,209.9,211.8,207.2,2.8,0.00%
165,2018-09-30,61,207.8,210.7,215.2,205.6,2.39,-1.47%
166,2018-10-07,61,192.6,206.3,207.3,189.5,4.46,-7.31%
167,2018-10-14,63,202.8,192.5,205.2,192.05,3.85,5.30%
